"","GS","ganancia_peso"
"1","8",11.46
"2","8",12.03
"3","8",15.62
"4","8",19.89
"5","8",20.05
"6","8",20.25
"7","8",20.66
"8","8",23.39
"9","8",24
"10","8",24.04
"11","8",24.94
"12","8",24.96
"13","8",25.55
"14","10",25.76
"15","8",26.19
"16","8",26.99
"17","8",27.22
"18","8",27.8
"19","8",27.95
"20","8",28.15
"21","10",28.66
"22","8",28.68
"23","10",29.28
"24","8",30.08
"25","8",30.48
"26","8",30.48
"27","10",30.55
"28","10",31.31
"29","10",32.2
"30","8",32.53
"31","8",32.62
"32","10",32.7
"33","8",33.42
"34","8",33.9
"35","8",34.12
"36","10",34.43
"37","10",34.66
"38","8",35.06
"39","10",35.07
"40","10",35.22
"41","10",35.33
"42","10",35.35
"43","10",35.67
"44","10",35.86
"45","13",36.02
"46","10",36.65
"47","10",36.74
"48","8",36.97
"49","8",37.24
"50","8",37.27
"51","10",37.43
"52","10",37.71
"53","10",38.06
"54","8",38.08
"55","8",38.27
"56","8",38.33
"57","13",38.37
"58","10",38.38
"59","10",38.8
"60","13",38.86
"61","10",38.89
"62","10",39.17
"63","10",39.2
"64","10",39.27
"65","10",39.47
"66","10",39.75
"67","10",39.78
"68","10",39.88
"69","8",39.98
"70","8",39.98
"71","8",40.17
"72","8",40.27
"73","10",40.68
"74","13",40.73
"75","10",40.76
"76","8",40.77
"77","10",40.87
"78","8",41.19
"79","8",41.25
"80","8",41.26
"81","10",41.3
"82","8",41.35
"83","10",41.38
"84","10",41.4
"85","10",41.46
"86","13",41.48
"87","10",41.62
"88","8",41.66
"89","10",41.69
"90","13",41.82
"91","10",41.91
"92","10",41.92
"93","8",42.01
"94","10",42.14
"95","10",42.15
"96","13",42.43
"97","10",42.63
"98","13",42.72
"99","10",42.73
"100","10",42.75
"101","13",43
"102","13",43.04
"103","13",43.07
"104","8",43.1
"105","8",43.36
"106","10",43.44
"107","10",43.56
"108","10",43.57
"109","13",43.62
"110","10",43.75
"111","13",43.79
"112","10",43.94
"113","10",43.98
"114","13",44.08
"115","13",44.28
"116","13",44.39
"117","8",44.4
"118","13",44.51
"119","13",44.56
"120","10",44.67
"121","10",44.75
"122","13",44.8
"123","13",44.91
"124","10",44.95
"125","13",44.97
"126","10",45.21
"127","10",45.27
"128","10",45.28
"129","10",45.29
"130","13",45.49
"131","13",45.5
"132","10",45.53
"133","10",45.56
"134","10",45.57
"135","13",45.6
"136","10",45.62
"137","10",45.63
"138","13",45.64
"139","10",45.69
"140","13",45.73
"141","13",45.79
"142","13",45.8
"143","10",45.88
"144","13",46.3
"145","10",46.35
"146","10",46.39
"147","8",46.39
"148","10",46.5
"149","10",46.59
"150","10",46.65
"151","8",46.76
"152","10",46.77
"153","10",46.88
"154","10",46.9
"155","10",46.99
"156","13",47.01
"157","10",47.09
"158","10",47.09
"159","10",47.12
"160","10",47.14
"161","13",47.17
"162","13",47.2
"163","10",47.24
"164","10",47.26
"165","10",47.35
"166","10",47.45
"167","10",47.54
"168","8",47.58
"169","10",47.63
"170","13",47.82
"171","10",47.83
"172","8",47.85
"173","13",47.88
"174","13",47.9
"175","10",47.9
"176","10",47.9
"177","10",48.05
"178","10",48.08
"179","13",48.15
"180","13",48.19
"181","13",48.24
"182","13",48.33
"183","10",48.33
"184","13",48.42
"185","13",48.56
"186","13",48.7
"187","10",48.8
"188","10",48.84
"189","10",49.01
"190","10",49.02
"191","10",49.03
"192","13",49.03
"193","10",49.04
"194","13",49.08
"195","10",49.09
"196","10",49.1
"197","13",49.11
"198","13",49.18
"199","13",49.19
"200","13",49.21
"201","10",49.24
"202","10",49.42
"203","10",49.47
"204","13",49.48
"205","13",49.56
"206","10",49.66
"207","10",49.89
"208","13",49.94
"209","13",49.94
"210","13",49.94
"211","10",49.96
"212","13",49.98
"213","10",50
"214","10",50.07
"215","10",50.19
"216","13",50.19
"217","13",50.2
"218","8",50.26
"219","13",50.34
"220","13",50.35
"221","10",50.36
"222","13",50.37
"223","13",50.41
"224","10",50.6
"225","10",50.61
"226","13",50.64
"227","13",50.65
"228","10",50.66
"229","13",50.66
"230","10",50.67
"231","10",50.68
"232","13",50.68
"233","13",50.71
"234","13",50.71
"235","13",50.79
"236","10",50.83
"237","13",50.87
"238","13",50.89
"239","10",50.92
"240","10",50.93
"241","10",50.98
"242","10",51.01
"243","13",51.11
"244","13",51.12
"245","10",51.14
"246","13",51.14
"247","13",51.28
"248","10",51.32
"249","13",51.43
"250","13",51.45
"251","13",51.66
"252","13",51.79
"253","13",51.8
"254","13",51.83
"255","13",51.93
"256","13",51.95
"257","10",52.03
"258","13",52.15
"259","13",52.29
"260","13",52.31
"261","13",52.33
"262","13",52.45
"263","10",52.46
"264","10",52.52
"265","10",52.55
"266","10",52.57
"267","10",52.58
"268","13",52.6
"269","13",52.67
"270","10",52.72
"271","13",52.74
"272","13",52.76
"273","13",52.76
"274","13",52.81
"275","13",52.81
"276","13",52.84
"277","10",52.9
"278","13",52.99
"279","13",53.12
"280","10",53.13
"281","16",53.26
"282","13",53.29
"283","10",53.33
"284","13",53.46
"285","10",53.47
"286","10",53.47
"287","10",53.48
"288","10",53.49
"289","13",53.5
"290","13",53.65
"291","13",53.66
"292","13",53.68
"293","10",53.86
"294","13",53.91
"295","13",53.93
"296","10",53.95
"297","13",53.96
"298","10",54
"299","10",54.05
"300","13",54.06
"301","13",54.07
"302","10",54.1
"303","13",54.1
"304","13",54.15
"305","13",54.22
"306","10",54.25
"307","13",54.35
"308","10",54.43
"309","13",54.48
"310","13",54.53
"311","13",54.62
"312","13",54.66
"313","10",54.66
"314","13",54.67
"315","13",54.68
"316","13",54.73
"317","10",54.85
"318","13",54.87
"319","13",54.88
"320","13",54.91
"321","13",54.91
"322","10",55
"323","10",55.02
"324","10",55.02
"325","13",55.07
"326","13",55.08
"327","13",55.14
"328","13",55.17
"329","13",55.18
"330","10",55.21
"331","13",55.22
"332","10",55.23
"333","13",55.3
"334","10",55.3
"335","10",55.36
"336","13",55.36
"337","13",55.37
"338","13",55.42
"339","10",55.43
"340","13",55.51
"341","13",55.53
"342","13",55.55
"343","13",55.6
"344","13",55.61
"345","13",55.61
"346","13",55.61
"347","13",55.65
"348","13",55.67
"349","13",55.68
"350","13",55.71
"351","13",55.73
"352","13",55.78
"353","13",55.81
"354","13",55.81
"355","13",55.82
"356","13",55.92
"357","13",55.92
"358","13",55.93
"359","13",55.95
"360","13",55.96
"361","13",55.99
"362","13",56.03
"363","13",56.1
"364","13",56.1
"365","13",56.12
"366","16",56.22
"367","13",56.33
"368","13",56.35
"369","13",56.37
"370","10",56.39
"371","13",56.41
"372","13",56.42
"373","13",56.47
"374","13",56.53
"375","13",56.56
"376","13",56.6
"377","13",56.68
"378","13",56.7
"379","13",56.73
"380","13",56.76
"381","13",56.77
"382","13",56.79
"383","13",56.79
"384","10",56.81
"385","10",56.81
"386","13",56.83
"387","13",56.86
"388","13",56.86
"389","13",56.93
"390","13",56.98
"391","13",57.01
"392","13",57.05
"393","13",57.07
"394","10",57.07
"395","13",57.1
"396","13",57.11
"397","13",57.16
"398","13",57.18
"399","10",57.19
"400","13",57.26
"401","13",57.32
"402","13",57.36
"403","10",57.37
"404","10",57.41
"405","13",57.44
"406","13",57.44
"407","10",57.45
"408","13",57.49
"409","13",57.51
"410","13",57.54
"411","13",57.62
"412","13",57.67
"413","13",57.74
"414","13",57.77
"415","13",57.82
"416","13",57.83
"417","13",57.87
"418","13",57.9
"419","13",57.9
"420","13",57.96
"421","10",57.97
"422","13",58.01
"423","13",58.04
"424","13",58.04
"425","16",58.05
"426","13",58.06
"427","10",58.06
"428","13",58.07
"429","13",58.1
"430","13",58.1
"431","13",58.13
"432","13",58.16
"433","13",58.16
"434","13",58.17
"435","13",58.21
"436","13",58.22
"437","13",58.22
"438","13",58.29
"439","13",58.35
"440","16",58.35
"441","16",58.35
"442","13",58.36
"443","13",58.43
"444","13",58.43
"445","13",58.47
"446","13",58.5
"447","13",58.53
"448","13",58.56
"449","13",58.57
"450","13",58.57
"451","10",58.58
"452","13",58.6
"453","13",58.64
"454","16",58.67
"455","13",58.7
"456","13",58.75
"457","16",58.79
"458","13",58.81
"459","13",58.82
"460","13",58.82
"461","13",58.84
"462","13",58.85
"463","13",58.88
"464","13",58.95
"465","13",59.01
"466","13",59.01
"467","16",59.05
"468","16",59.08
"469","13",59.13
"470","13",59.13
"471","16",59.14
"472","10",59.14
"473","13",59.19
"474","13",59.21
"475","13",59.22
"476","16",59.24
"477","13",59.32
"478","13",59.37
"479","13",59.42
"480","13",59.45
"481","13",59.49
"482","13",59.61
"483","13",59.65
"484","13",59.68
"485","13",59.68
"486","13",59.7
"487","13",59.71
"488","13",59.73
"489","10",59.74
"490","13",59.76
"491","13",59.78
"492","13",59.8
"493","13",59.86
"494","13",59.9
"495","13",59.91
"496","13",59.92
"497","13",59.94
"498","10",59.95
"499","13",59.96
"500","13",59.99
"501","13",60.05
"502","13",60.07
"503","13",60.13
"504","13",60.14
"505","13",60.17
"506","13",60.17
"507","13",60.24
"508","13",60.27
"509","13",60.29
"510","13",60.3
"511","13",60.3
"512","13",60.33
"513","10",60.35
"514","13",60.35
"515","13",60.36
"516","13",60.36
"517","13",60.36
"518","13",60.37
"519","10",60.38
"520","13",60.38
"521","13",60.39
"522","13",60.39
"523","13",60.41
"524","13",60.41
"525","13",60.48
"526","13",60.53
"527","16",60.57
"528","13",60.59
"529","16",60.6
"530","13",60.61
"531","13",60.62
"532","13",60.63
"533","13",60.69
"534","13",60.7
"535","13",60.7
"536","13",60.73
"537","13",60.84
"538","16",60.92
"539","13",60.94
"540","13",61
"541","13",61.05
"542","13",61.05
"543","13",61.06
"544","13",61.09
"545","13",61.09
"546","13",61.1
"547","10",61.11
"548","16",61.18
"549","13",61.2
"550","13",61.23
"551","13",61.28
"552","13",61.28
"553","13",61.29
"554","16",61.32
"555","13",61.36
"556","13",61.36
"557","16",61.4
"558","13",61.4
"559","16",61.4
"560","10",61.42
"561","13",61.44
"562","13",61.45
"563","13",61.46
"564","16",61.48
"565","13",61.49
"566","13",61.49
"567","13",61.52
"568","16",61.55
"569","16",61.56
"570","13",61.58
"571","13",61.59
"572","13",61.63
"573","13",61.66
"574","16",61.67
"575","13",61.67
"576","13",61.69
"577","13",61.71
"578","13",61.73
"579","13",61.74
"580","13",61.8
"581","13",61.82
"582","13",61.82
"583","13",61.85
"584","13",61.89
"585","16",61.91
"586","16",61.94
"587","13",61.95
"588","13",61.95
"589","13",61.97
"590","13",62.02
"591","16",62.09
"592","13",62.11
"593","13",62.11
"594","16",62.13
"595","13",62.13
"596","13",62.19
"597","13",62.2
"598","13",62.2
"599","16",62.21
"600","13",62.3
"601","13",62.3
"602","13",62.32
"603","13",62.32
"604","13",62.36
"605","13",62.36
"606","13",62.36
"607","13",62.36
"608","13",62.38
"609","13",62.4
"610","16",62.41
"611","13",62.45
"612","16",62.46
"613","13",62.46
"614","13",62.47
"615","13",62.5
"616","13",62.5
"617","13",62.5
"618","16",62.51
"619","16",62.55
"620","16",62.57
"621","13",62.61
"622","13",62.62
"623","13",62.64
"624","13",62.64
"625","13",62.68
"626","13",62.75
"627","16",62.78
"628","13",62.79
"629","16",62.8
"630","16",62.8
"631","13",62.83
"632","13",62.83
"633","13",62.88
"634","13",62.97
"635","13",62.97
"636","16",62.99
"637","13",63
"638","13",63.03
"639","13",63.06
"640","13",63.07
"641","16",63.14
"642","13",63.18
"643","16",63.19
"644","13",63.19
"645","13",63.2
"646","13",63.23
"647","16",63.24
"648","13",63.31
"649","13",63.36
"650","13",63.38
"651","13",63.4
"652","13",63.41
"653","10",63.44
"654","13",63.47
"655","13",63.47
"656","16",63.48
"657","16",63.49
"658","13",63.53
"659","13",63.53
"660","16",63.54
"661","16",63.54
"662","13",63.57
"663","13",63.59
"664","13",63.64
"665","13",63.65
"666","13",63.66
"667","13",63.7
"668","13",63.7
"669","13",63.71
"670","16",63.72
"671","13",63.73
"672","13",63.75
"673","13",63.77
"674","13",63.77
"675","13",63.78
"676","16",63.79
"677","13",63.83
"678","16",63.84
"679","13",63.87
"680","13",63.87
"681","13",63.89
"682","13",63.89
"683","13",63.93
"684","10",63.97
"685","16",63.98
"686","16",63.99
"687","13",64.19
"688","16",64.22
"689","13",64.23
"690","13",64.28
"691","13",64.31
"692","16",64.35
"693","16",64.37
"694","13",64.43
"695","13",64.47
"696","13",64.48
"697","10",64.49
"698","16",64.51
"699","16",64.53
"700","13",64.56
"701","16",64.59
"702","13",64.64
"703","16",64.66
"704","13",64.66
"705","13",64.66
"706","13",64.67
"707","13",64.68
"708","13",64.68
"709","13",64.68
"710","13",64.76
"711","13",64.77
"712","16",64.77
"713","13",64.78
"714","13",64.81
"715","13",64.83
"716","13",64.86
"717","13",64.87
"718","13",64.88
"719","13",64.92
"720","13",64.93
"721","13",65.03
"722","13",65.05
"723","16",65.05
"724","16",65.06
"725","13",65.12
"726","16",65.13
"727","16",65.14
"728","16",65.18
"729","13",65.18
"730","16",65.2
"731","13",65.21
"732","16",65.21
"733","13",65.23
"734","16",65.24
"735","13",65.29
"736","13",65.32
"737","13",65.33
"738","13",65.33
"739","16",65.33
"740","13",65.37
"741","16",65.39
"742","13",65.41
"743","13",65.41
"744","13",65.42
"745","13",65.45
"746","13",65.45
"747","13",65.48
"748","13",65.5
"749","13",65.52
"750","13",65.56
"751","16",65.63
"752","13",65.64
"753","16",65.64
"754","16",65.65
"755","13",65.68
"756","13",65.69
"757","13",65.71
"758","13",65.76
"759","13",65.77
"760","13",65.77
"761","13",65.79
"762","13",65.79
"763","13",65.8
"764","13",65.83
"765","13",65.85
"766","16",65.86
"767","13",65.89
"768","13",65.9
"769","13",65.93
"770","16",65.95
"771","16",66
"772","13",66
"773","16",66.04
"774","13",66.08
"775","13",66.08
"776","16",66.08
"777","16",66.09
"778","13",66.1
"779","16",66.1
"780","13",66.12
"781","13",66.13
"782","16",66.15
"783","13",66.17
"784","13",66.21
"785","13",66.22
"786","13",66.24
"787","16",66.26
"788","16",66.27
"789","16",66.29
"790","13",66.33
"791","16",66.34
"792","13",66.38
"793","16",66.39
"794","16",66.41
"795","13",66.43
"796","13",66.46
"797","13",66.47
"798","13",66.47
"799","13",66.48
"800","13",66.49
"801","13",66.49
"802","13",66.52
"803","13",66.53
"804","13",66.59
"805","13",66.61
"806","16",66.62
"807","13",66.62
"808","13",66.68
"809","13",66.73
"810","16",66.77
"811","13",66.77
"812","16",66.8
"813","13",66.83
"814","13",66.83
"815","13",66.85
"816","13",66.85
"817","16",66.87
"818","16",66.92
"819","13",66.94
"820","13",66.95
"821","13",66.99
"822","13",66.99
"823","16",67
"824","16",67.04
"825","13",67.05
"826","13",67.07
"827","13",67.09
"828","16",67.14
"829","16",67.15
"830","13",67.17
"831","13",67.2
"832","13",67.21
"833","13",67.25
"834","13",67.26
"835","13",67.28
"836","13",67.29
"837","16",67.31
"838","16",67.33
"839","13",67.35
"840","16",67.38
"841","13",67.43
"842","16",67.44
"843","16",67.48
"844","13",67.5
"845","16",67.52
"846","16",67.54
"847","16",67.56
"848","16",67.56
"849","13",67.57
"850","16",67.62
"851","16",67.62
"852","16",67.63
"853","13",67.65
"854","16",67.67
"855","13",67.69
"856","16",67.7
"857","13",67.7
"858","16",67.71
"859","13",67.72
"860","13",67.72
"861","13",67.78
"862","13",67.78
"863","16",67.78
"864","16",67.79
"865","13",67.81
"866","16",67.82
"867","16",67.85
"868","13",67.88
"869","16",67.9
"870","16",67.97
"871","16",67.98
"872","16",68.03
"873","16",68.03
"874","16",68.1
"875","13",68.16
"876","16",68.17
"877","16",68.22
"878","13",68.24
"879","13",68.26
"880","16",68.3
"881","16",68.34
"882","16",68.37
"883","13",68.41
"884","16",68.41
"885","13",68.41
"886","13",68.43
"887","16",68.44
"888","16",68.45
"889","13",68.46
"890","13",68.47
"891","13",68.49
"892","16",68.5
"893","13",68.52
"894","13",68.54
"895","13",68.55
"896","13",68.55
"897","13",68.55
"898","16",68.58
"899","13",68.58
"900","13",68.6
"901","16",68.62
"902","16",68.67
"903","13",68.67
"904","13",68.67
"905","13",68.69
"906","16",68.7
"907","13",68.71
"908","16",68.73
"909","13",68.73
"910","13",68.79
"911","13",68.81
"912","16",68.86
"913","16",68.86
"914","13",68.87
"915","16",68.87
"916","13",68.87
"917","16",68.89
"918","13",68.96
"919","16",68.98
"920","16",68.99
"921","16",68.99
"922","13",69.01
"923","16",69.07
"924","13",69.08
"925","16",69.12
"926","16",69.13
"927","13",69.13
"928","16",69.14
"929","13",69.21
"930","16",69.23
"931","13",69.23
"932","13",69.23
"933","16",69.27
"934","13",69.28
"935","16",69.31
"936","13",69.31
"937","16",69.33
"938","16",69.34
"939","16",69.36
"940","13",69.43
"941","16",69.44
"942","16",69.46
"943","13",69.49
"944","13",69.49
"945","16",69.5
"946","13",69.51
"947","16",69.54
"948","16",69.56
"949","16",69.59
"950","13",69.66
"951","13",69.72
"952","16",69.77
"953","16",69.8
"954","13",69.83
"955","13",69.84
"956","16",69.86
"957","13",69.87
"958","13",69.96
"959","16",70.01
"960","16",70.01
"961","16",70.03
"962","13",70.07
"963","16",70.13
"964","13",70.15
"965","13",70.15
"966","16",70.18
"967","13",70.18
"968","16",70.21
"969","13",70.22
"970","13",70.24
"971","13",70.27
"972","13",70.28
"973","13",70.29
"974","13",70.3
"975","16",70.32
"976","13",70.33
"977","13",70.34
"978","13",70.35
"979","13",70.37
"980","16",70.41
"981","16",70.41
"982","16",70.43
"983","16",70.45
"984","16",70.45
"985","13",70.47
"986","16",70.51
"987","16",70.51
"988","13",70.53
"989","16",70.56
"990","13",70.56
"991","16",70.61
"992","16",70.63
"993","13",70.64
"994","13",70.65
"995","16",70.65
"996","13",70.65
"997","13",70.66
"998","13",70.72
"999","16",70.73
"1000","13",70.74
"1001","13",70.75
"1002","16",70.77
"1003","16",70.78
"1004","13",70.82
"1005","16",70.85
"1006","16",70.85
"1007","13",70.85
"1008","16",70.86
"1009","13",70.86
"1010","16",70.87
"1011","16",70.88
"1012","13",70.88
"1013","13",70.89
"1014","16",70.9
"1015","16",70.9
"1016","16",70.94
"1017","16",70.94
"1018","16",70.96
"1019","13",70.99
"1020","16",71
"1021","16",71
"1022","16",71.02
"1023","13",71.04
"1024","16",71.05
"1025","16",71.06
"1026","16",71.09
"1027","16",71.12
"1028","16",71.14
"1029","13",71.16
"1030","16",71.17
"1031","16",71.17
"1032","13",71.18
"1033","16",71.23
"1034","13",71.24
"1035","16",71.27
"1036","13",71.28
"1037","13",71.3
"1038","16",71.36
"1039","13",71.36
"1040","16",71.36
"1041","16",71.39
"1042","16",71.39
"1043","16",71.42
"1044","16",71.45
"1045","16",71.45
"1046","13",71.46
"1047","13",71.46
"1048","16",71.46
"1049","16",71.46
"1050","16",71.51
"1051","13",71.51
"1052","16",71.52
